date,sentiment_score,confidence_score
2024-09-22,-0.2799999999999999,0.8099999999999999
2024-09-23,-0.1099999999999999,0.7949999999999999
2024-09-24,-0.0399999999999999,0.8099999999999999
2024-09-25,-0.0888888888888888,0.8222222222222222
2024-09-26,-0.1249999999999999,0.7875000000000001
2024-09-27,-0.3222222222222222,0.8
2024-09-28,-0.1699999999999999,0.7999999999999999
2024-09-29,-0.3500000000000001,0.8400000000000001
2024-09-30,-0.34,0.7899999999999999
2024-10-01,0.3,0.7999999999999999
2024-10-02,0.05,0.8125
2024-10-03,-0.0699999999999999,0.8099999999999999
2024-10-04,-0.0555555555555555,0.811111111111111
2024-10-05,-0.0499999999999999,0.8149999999999998
2024-10-06,-0.2799999999999999,0.825
2024-10-07,-0.2875,0.8312499999999999
2024-10-08,-0.3399999999999999,0.82
2024-10-09,-0.3,0.8222222222222222
2024-10-10,-0.3125,0.8375
2024-10-11,-0.3299999999999999,0.805
2024-10-12,-0.2299999999999999,0.8
2024-10-13,-0.2799999999999999,0.8099999999999999
2024-10-14,-0.11,0.7999999999999999
2024-10-15,-0.1299999999999999,0.8099999999999999
2024-10-16,-0.0599999999999999,0.7899999999999999
2024-10-17,0.06999999999999999,0.8100000000000002
2024-10-18,0.06250000000000003,0.8125
2024-10-19,0.07777777777777778,0.8
2024-10-20,-0.4142857142857143,0.7999999999999999
2024-10-21,-0.125,0.7999999999999999
